district,age_group,one_person_households,reference_year,source_table_id,source_name
광진구,30~34세,12916,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
광진구,35~39세,6880,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
광진구,40~44세,4703,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
광진구,45~49세,3577,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
광진구,50~54세,3677,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
광진구,55~59세,3753,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
광진구,60~64세,3997,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
광진구,65~69세,4049,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
광진구,70~74세,2875,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
광진구,75~79세,2204,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
광진구,80~84세,1671,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
광진구,85세이상,1344,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
동대문구,합계,73639,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
동대문구,20세미만,1243,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
동대문구,20~24세,11457,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
동대문구,25~29세,13519,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
동대문구,30~34세,8975,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
동대문구,35~39세,4840,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
동대문구,40~44세,3710,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
동대문구,45~49세,3180,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
동대문구,50~54세,3466,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
동대문구,55~59세,3707,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
동대문구,60~64세,4191,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
동대문구,65~69세,4589,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
동대문구,70~74세,3652,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
동대문구,75~79세,2959,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
동대문구,80~84세,2344,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
동대문구,85세이상,1807,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
중랑구,합계,71249,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
중랑구,20세미만,188,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
중랑구,20~24세,2751,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
중랑구,25~29세,8091,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
중랑구,30~34세,8818,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
중랑구,35~39세,5298,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
중랑구,40~44세,4372,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
중랑구,45~49세,3899,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
중랑구,50~54세,4765,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
중랑구,55~59세,5732,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
중랑구,60~64세,6789,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
중랑구,65~69세,7102,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
중랑구,70~74세,5075,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
중랑구,75~79세,3728,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
중랑구,80~84세,2729,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
중랑구,85세이상,1912,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
성북구,합계,71799,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
성북구,20세미만,1470,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
성북구,20~24세,11805,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
성북구,25~29세,11005,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
성북구,30~34세,7241,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
성북구,35~39세,4463,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
성북구,40~44세,3666,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
성북구,45~49세,3177,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
성북구,50~54세,3756,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
성북구,55~59세,3923,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
성북구,60~64세,4331,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
성북구,65~69세,4851,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
성북구,70~74세,3775,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
성북구,75~79세,3336,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
성북구,80~84세,2746,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
성북구,85세이상,2254,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
