locker_stat_id,district,facility_name,address,operation_status,installed_year,removed_year,locker_count,snapshot_date,period,occupancy_rate,usage_count,year,period_end,months_observed,is_partial_year,installed_year_conflict,data_quality_status,occupancy_rate_pct,monthly_avg_usage
STAT_075189ed3cf4,광진구,군자동주민센터,면목로 13,운영,2022,,12,2026-06-30,2021,,,2021,2021-12-31,12,False,False,ok,,
STAT_b1db1e2faece,광진구,구의1동공영주차장,자양로18길 78,운영,,,19,2026-06-30,2021,,697.0,2021,2021-12-31,12,False,False,ok,,58.083333333333336
STAT_23649dd805e2,광진구,중곡감리교회,긴고랑로36길 56,철거,2017,2023,19,2026-06-30,2021,,1264.0,2021,2021-12-31,12,False,False,ok,,105.33333333333333
STAT_758ff5ca6137,광진구,구의2동주택가 공동주차장,자양로 309,운영,2017,,19,2026-06-30,2021,,2285.0,2021,2021-12-31,12,False,False,ok,,190.41666666666666
STAT_e9bf395d37b8,광진구,자양종합사회복지관,자양번영로 35,운영,2016,,19,2026-06-30,2021,,3352.0,2021,2021-12-31,12,False,False,ok,,279.3333333333333
STAT_408bd0ac3797,광진구,중곡문화체육센터,능동로 433,운영,2016,,19,2026-06-30,2021,,3115.0,2021,2021-12-31,12,False,False,ok,,259.5833333333333
STAT_e55a66477e82,광진구,중곡종합건강센터,긴고랑로 110,운영,2016,,19,2026-06-30,2021,,2213.0,2021,2021-12-31,12,False,False,ok,,184.41666666666666
STAT_3acf37d271c1,광진구,화양동주민센터,능동로17길 39,운영,2015,,19,2026-06-30,2021,,2471.0,2021,2021-12-31,12,False,False,ok,,205.91666666666666
STAT_63bdb69c59a1,광진구,자양4동 주민센터,뚝섬로26길 58,운영,2014,,19,2026-06-30,2021,,2192.0,2021,2021-12-31,12,False,False,ok,,182.66666666666666
STAT_ca5751664bd1,광진구,동부여성발전센터,아차산로30길 36,운영,2014,,26,2026-06-30,2021,,4185.0,2021,2021-12-31,12,False,False,ok,,348.75
STAT_2b92845e04d7,광진구,중곡1동주민센터,긴고랑로12길 49,운영,2018,,12,2026-06-30,2021,,1893.0,2021,2021-12-31,12,False,False,ok,,157.75
STAT_cd0d76d74c3a,광진구,현대오일뱅크_중원주유소,동일로 398,철거,2019,2023,,2026-06-30,2021,,269.0,2021,2021-12-31,12,False,False,ok,,22.416666666666668
STAT_0c47cbd55ae6,광진구,광진경찰서,자양로 167,운영,2018,,12,2026-06-30,2021,,1704.0,2021,2021-12-31,12,False,False,ok,,142.0
STAT_eaa2d3d65362,동대문구,휘경동공영주차장,망우로12길 33,운영,2019,,19,2026-06-30,2021,0.28,449.0,2021,2021-12-31,12,False,False,ok,28.000000000000004,37.416666666666664
STAT_d0f69a3385d2,동대문구,이문체육문화센터,한천로58길 81-49,운영,2022,,12,2026-06-30,2021,,,2021,2021-12-31,12,False,False,ok,,
STAT_8507bb784f10,동대문구,신한은행 외대역 지점,휘경로 23(이문동),철거,2019,2026,12,2026-06-30,2021,,2091.0,2021,2021-12-31,12,False,False,ok,,174.25
STAT_764b677382e5,동대문구,나사렛교회,전농로27길 42,철거,2017,2024,19,2026-06-30,2021,,2293.0,2021,2021-12-31,12,False,False,ok,,191.08333333333334
STAT_30253358ff81,동대문구,장안2동 공영주차장,답십리로65길 124-5,운영,2017,,19,2026-06-30,2021,,2658.0,2021,2021-12-31,12,False,False,ok,,221.5
STAT_0e5791032abc,동대문구,동대문구청 종합민원실,천호대로 145,운영,2016,,19,2026-06-30,2021,,2363.0,2021,2021-12-31,12,False,False,ok,,196.91666666666666
STAT_d88bac6a8b15,동대문구,동대문종합사회복지관,약령시로5길 22,철거,2016,2023,19,2026-06-30,2021,,1109.0,2021,2021-12-31,12,False,False,ok,,92.41666666666667
STAT_6bc8f8825cac,동대문구,회기동공영주차장,회기로25길 31,운영,2016,,12,2026-06-30,2021,,1867.0,2021,2021-12-31,12,False,False,ok,,155.58333333333334
STAT_a301e08fb187,동대문구,답십리도서관,서울시립대로4길 75,운영,2015,,19,2026-06-30,2021,,3268.0,2021,2021-12-31,12,False,False,ok,,272.3333333333333
STAT_3639fcc7ebce,동대문구,정보화도서관,회기로10길 60,운영,2013,,19,2026-06-30,2021,,2046.0,2021,2021-12-31,12,False,False,ok,,170.5
STAT_fb818619e613,동대문구,장안종합사회복지관,한천로18길 48,운영,2013,,26,2026-06-30,2021,,3899.0,2021,2021-12-31,12,False,False,ok,,324.9166666666667
STAT_95a09e290bd9,동대문구,답십리2청소년독서실,답십리로56길 15,운영,2022,,12,2026-06-30,2021,,,2021,2021-12-31,12,False,False,ok,,
STAT_cbdc9360c91f,중랑구,중화1치안센터,동일로 792,철거,2021,2024,19,2026-06-30,2021,0.28,6.0,2021,2021-12-31,12,False,False,ok,28.000000000000004,0.5
STAT_6de60005fdc0,중랑구,면목4동주민센터,면목로 246,운영,2016,,19,2026-06-30,2021,,2618.0,2021,2021-12-31,12,False,False,ok,,218.16666666666666
STAT_0856c74ea1d5,중랑구,면목5동 주민센터,동일로 619,운영,2014,,19,2026-06-30,2021,,2442.0,2021,2021-12-31,12,False,False,ok,,203.5
STAT_bf8a83ad9ef3,중랑구,면목본동 주민센터,면목로 397,운영,2013,,33,2026-06-30,2021,,5495.0,2021,2021-12-31,12,False,False,ok,,457.9166666666667
STAT_6cb0a600e20f,중랑구,상봉1동주민센터,상봉중앙로1길 6,운영,2023,,19,2026-06-30,2021,,,2021,2021-12-31,12,False,False,ok,,
STAT_28eb1a2300e8,중랑구,상봉2동주민센터,동일로 114길 10,운영,,,19,2026-06-30,2021,,211.0,2021,2021-12-31,12,False,False,ok,,17.583333333333332
STAT_23e5d157fd2d,성북구,석관동주민센터,화랑로 296,운영,2019,,12,2026-06-30,2021,0.34,1113.0,2021,2021-12-31,12,False,False,ok,34.0,92.75
STAT_7c3980948ba9,성북구,성북정릉감리교회,보국문로8길 23,철거,2022,2026,19,2026-06-30,2021,,,2021,2021-12-31,12,False,False,ok,,
