locker_stat_id,district,facility_name,address,operation_status,installed_year,removed_year,locker_count,2021,2022,2023,2024,2025,2026_h1,snapshot_date,source_sheet
STAT_23649dd805e2,광진구,중곡감리교회,긴고랑로36길 56,철거,2017,2023,19,1264.0,1127.0,,,,,2026-06-30,개소별 이용건수
STAT_758ff5ca6137,광진구,구의2동주택가 공동주차장,자양로 309,운영,2017,,19,2285.0,2404.0,2089.0,1996.0,2370.0,1196.0,2026-06-30,개소별 이용건수
STAT_e9bf395d37b8,광진구,자양종합사회복지관,자양번영로 35,운영,2016,,19,3352.0,3418.0,3103.0,2956.0,2301.0,1010.0,2026-06-30,개소별 이용건수
STAT_408bd0ac3797,광진구,중곡문화체육센터,능동로 433,운영,2016,,19,3115.0,2727.0,2421.0,2137.0,1575.0,984.0,2026-06-30,개소별 이용건수
STAT_e55a66477e82,광진구,중곡종합건강센터,긴고랑로 110,운영,2016,,19,2213.0,2195.0,2400.0,2396.0,1943.0,815.0,2026-06-30,개소별 이용건수
STAT_3acf37d271c1,광진구,화양동주민센터,능동로17길 39,운영,2015,,19,2471.0,2535.0,2062.0,2058.0,1803.0,1021.0,2026-06-30,개소별 이용건수
STAT_63bdb69c59a1,광진구,자양4동 주민센터,뚝섬로26길 58,운영,2014,,19,2192.0,3346.0,2569.0,2565.0,2259.0,737.0,2026-06-30,개소별 이용건수
STAT_ca5751664bd1,광진구,동부여성발전센터,아차산로30길 36,운영,2014,,26,4185.0,3119.0,2759.0,2669.0,1450.0,833.0,2026-06-30,개소별 이용건수
STAT_2b92845e04d7,광진구,중곡1동주민센터,긴고랑로12길 49,운영,2018,,12,1893.0,1440.0,1697.0,1223.0,1175.0,677.0,2026-06-30,개소별 이용건수
STAT_cd0d76d74c3a,광진구,현대오일뱅크_중원주유소,동일로 398,철거,2019,2023,,269.0,98.00277777777778,,,,,2026-06-30,개소별 이용건수
STAT_0c47cbd55ae6,광진구,광진경찰서,자양로 167,운영,2018,,12,1704.0,1720.0,1631.0,2024.0,1517.0,465.0,2026-06-30,개소별 이용건수
STAT_eaa2d3d65362,동대문구,휘경동공영주차장,망우로12길 33,운영,2019,,19,449.0,395.0,821.0,924.0,856.0,562.0,2026-06-30,개소별 이용건수
STAT_d0f69a3385d2,동대문구,이문체육문화센터,한천로58길 81-49,운영,2022,,12,,125.0,337.0,637.0,853.0,319.0,2026-06-30,개소별 이용건수
