"서대문구","25~29세",10085
"서대문구","30~34세",7128
"서대문구","35~39세",4161
"서대문구","40~44세",3161
"서대문구","45~49세",2617
"서대문구","50~54세",2854
"서대문구","55~59세",2817
"서대문구","60~64세",3028
"서대문구","65~69세",3322
"서대문구","70~74세",2638
"서대문구","75~79세",2429
"서대문구","80~84",2025
"서대문구","85세이상",1779
"마포구","합계",73242
"마포구","20세미만",550
"마포구","20~24세",6708
"마포구","25~29세",14308
"마포구","30~34세",13222
"마포구","35~39세",7597
"마포구","40~44세",5351
"마포구","45~49세",3917
"마포구","50~54세",3876
"마포구","55~59세",3113
"마포구","60~64세",2974
"마포구","65~69세",3147
"마포구","70~74세",2503
"마포구","75~79세",2357
"마포구","80~84",1958
"마포구","85세이상",1661
"양천구","합계",49370
"양천구","20세미만",122
"양천구","20~24세",1114
"양천구","25~29세",4628
"양천구","30~34세",5751
"양천구","35~39세",3763
"양천구","40~44세",3186
"양천구","45~49세",2900
"양천구","50~54세",3213
"양천구","55~59세",3627
"양천구","60~64세",4419
"양천구","65~69세",5081
"양천구","70~74세",4290
"양천구","75~79세",3200
"양천구","80~84",2219
"양천구","85세이상",1857
"강서구","합계",108459
"강서구","20세미만",210
"강서구","20~24세",4081
"강서구","25~29세",17968
"강서구","30~34세",19152
"강서구","35~39세",10653
"강서구","40~44세",7608
"강서구","45~49세",5895
"강서구","50~54세",5794
"강서구","55~59세",5687
"강서구","60~64세",6437
"강서구","65~69세",7907
"강서구","70~74세",6301
"강서구","75~79세",4747
"강서구","80~84",3311
"강서구","85세이상",2708
"구로구","합계",65153
"구로구","20세미만",218
"구로구","20~24세",2613
"구로구","25~29세",9594
"구로구","30~34세",9730
"구로구","35~39세",5751
"구로구","40~44세",4267
"구로구","45~49세",3599
"구로구","50~54세",4011
"구로구","55~59세",4058
"구로구","60~64세",4579
"구로구","65~69세",4985
"구로구","70~74세",4084
"구로구","75~79세",3342
"구로구","80~84",2490
"구로구","85세이상",1832
"금천구","합계",55126
"금천구","20세미만",109
"금천구","20~24세",2209
"금천구","25~29세",10052
"금천구","30~34세",9676
"금천구","35~39세",4880
"금천구","40~44세",3269
"금천구","45~49세",2602
"금천구","50~54세",3122
"금천구","55~59세",3601
"금천구","60~64세",4034
"금천구","65~69세",3918
"금천구","70~74세",2785
"금천구","75~79세",2151
"금천구","80~84",1587
"금천구","85세이상",1131
"영등포구","합계",81908
"영등포구","20세미만",180
"영등포구","20~24세",3536
"영등포구","25~29세",16745
"영등포구","30~34세",16781
"영등포구","35~39세",8515
"영등포구","40~44세",5400
"영등포구","45~49세",4153
"영등포구","50~54세",4154
"영등포구","55~59세",3960
"영등포구","60~64세",4215
"영등포구","65~69세",4435
"영등포구","70~74세",3314
"영등포구","75~79세",2771
"영등포구","80~84",2036
"영등포구","85세이상",1713
"동작구","합계",78375
"동작구","20세미만",1028
"동작구","20~24세",8931
"동작구","25~29세",16825
"동작구","30~34세",13165
"동작구","35~39세",6785
"동작구","40~44세",4418
"동작구","45~49세",3502
"동작구","50~54세",3417
"동작구","55~59세",3174
"동작구","60~64세",3358
"동작구","65~69세",3932
"동작구","70~74세",3236
"동작구","75~79세",2838
"동작구","80~84",2051
"동작구","85세이상",1715
"관악구","합계",158667
"관악구","20세미만",1164
"관악구","20~24세",15622
"관악구","25~29세",42354
"관악구","30~34세",31135
"관악구","35~39세",14087
"관악구","40~44세",8797
"관악구","45~49세",6745
"관악구","50~54세",6479
"관악구","55~59세",5932
"관악구","60~64세",6045
"관악구","65~69세",6345
"관악구","70~74세",4896
"관악구","75~79세",3989
"관악구","80~84",2969
"관악구","85세이상",2108
"서초구","합계",50435
"서초구","20세미만",437
"서초구","20~24세",1982
"서초구","25~29세",7042
"서초구","30~34세",8590
"서초구","35~39세",5762
"서초구","40~44세",4519
"서초구","45~49세",3509
"서초구","50~54세",3336
"서초구","55~59세",2806
"서초구","60~64세",2509
"서초구","65~69세",2858
"서초구","70~74세",2408
"서초구","75~79세",2061
"서초구","80~84",1440
"서초구","85세이상",1176
"강남구","합계",79351
"강남구","20세미만",382
"강남구","20~24세",2705
"강남구","25~29세",11080
"강남구","30~34세",14152
"강남구","35~39세",9426
"강남구","40~44세",7666
"강남구","45~49세",5915
"강남구","50~54세",4915
"강남구","55~59세",3836
"강남구","60~64세",3734
"강남구","65~69세",4349
"강남구","70~74세",3817
"강남구","75~79세",3258
"강남구","80~84",2248
"강남구","85세이상",1868
"송파구","합계",91108
"송파구","20세미만",253
"송파구","20~24세",2609
"송파구","25~29세",13351
"송파구","30~34세",16897
"송파구","35~39세",10198
"송파구","40~44세",7425
"송파구","45~49세",5687
"송파구","50~54세",5347
"송파구","55~59세",4967
"송파구","60~64세",5306
"송파구","65~69세",6146
"송파구","70~74세",4704
"송파구","75~79세",3716
"송파구","80~84",2507
"송파구","85세이상",1995
"강동구","합계",70590
"강동구","20세미만",143
"강동구","20~24세",2053
"강동구","25~29세",9594
"강동구","30~34세",10465
"강동구","35~39세",6060
"강동구","40~44세",4823
"강동구","45~49세",4171
"강동구","50~54세",4460
"강동구","55~59세",4619
"강동구","60~64세",5435
"강동구","65~69세",6425
"강동구","70~74세",4931
"강동구","75~79세",3477
"강동구","80~84",2255
"강동구","85세이상",1679
