자치구,시설물명,주소,운영여부,설치연도,철거연도,칸수,2021년,2022년,2023년,2024년,2025년,2026년 6월
강북구,미아사거리역 1번출구,도봉로 50,운영,-,,19.0,0.42,0.41,0.4,0.41212901827866916,0.4445900232236032,0.4265604863758514
,강북노인종합복지회관,삼양로92길 40,철거,2017,2024.0,19.0,,,,,,
,솔밭근린공원 개방화장실,삼양로 561,운영,2016,,19.0,,,,,,
,강북문화예술회관,삼각산로 85,철거,2016,2025.0,19.0,,,,,,
,번동북부시장 북부마트,한천로123길 26,운영,2016,,19.0,,,,,,
,수유역1번출구,도봉로 338,운영,2015,,19.0,,,,,,
,미아동 복합청사,솔매로49길 14,운영,2014,,19.0,,,,,,
,강북구청 본관 입구,도봉로89길 13,철거,2014,2025.0,19.0,,,,,,
,수유1동 주민센터,삼양로 299,운영,2013,,19.0,,,,,,
도봉구,염광교회,도봉로120길 16,운영,2017,,19.0,0.36,0.37,0.37,0.30441041354293374,0.3167367113409134,0.28926525382837537
,창3동 주민센터,덕릉로62길 89,운영,2017,,19.0,,,,,,
,도봉구민회관,도봉로 552,운영,2016,,19.0,,,,,,
,창동 도봉육아종합지원센터,우이천로4길 24-5,철거,2016,2024.0,12.0,,,,,,
,도봉서원종합사회복지관,마들로 668,운영,2014,,19.0,,,,,,
,방아골종합사회복지관,시루봉로17길 42,운영,2014,,19.0,,,,,,
,창동역1번출구,마들로11길 77,철거,2013,2024.0,26.0,,,,,,
,도봉구민청,마들로 656,철거,-,2022.0,,,,,,,
,창1동제1공영주차장,도봉로112길 43,철거,2016,2023.0,,,,,,,
,도봉1동주민센터,도봉로169나길 22,운영,2013,,19.0,,,,,,
,창2동 신창교회,덕릉로 247,운영,2018,,12.0,,,,,,
노원구,공릉종합사회복지관,동일로 1127 공릉아파트,운영,2019,,12.0,0.37,0.35,0.38,0.3767305769726222,0.33147167597810334,0.3272065474163461
,상계문화정보도서관,동일로 243길 57,운영,2020,,19.0,,,,,,
,상계2동주민센터,상계로 118,운영,2016,,19.0,,,,,,
,"상계3,4동 주민센터",덕릉로 859,운영,2014,,19.0,,,,,,
,상계역 자전거대여소,상계로 190,운영,2014,,33.0,,,,,,
,공릉 청소년문화정보센터,노원로1나길 10,운영,2013,,19.0,,,,,,
,공릉1동 주민센터(노원),동일로186길 3-24,운영,-,,19.0,,,,,,
,월계문화정보도서관,월계로 319,철거,2015,2023.0,19.0,,,,,,
,월계치안센터,석계로 93,철거,2018,2024.0,19.0,,,,,,
은평구,역촌동 주민센터,연서로 59,운영,2013,,19.0,0.37,0.34,0.38,0.3996259613058981,0.42854732676582324,0.3918503658728086
,갈현1동 주민센터,갈현로 301,운영,2013,,26.0,,,,,,
,갈현청소년센터쉼쉼,통일로89길 6-20,운영,2020,,12.0,,,,,,
,연신내 지구대,갈현로 195,운영,2016,,19.0,,,,,,
,구산동주민센터,갈현로17길 10,운영,2015,,19.0,,,,,,
,불광보건소,연서로 34길 11,철거,2016,2024.0,,,,,,,
,시립은평청소년센터,백련산로4길 16,철거,-,2022.0,,,,,,,
,아인스하임,은평터널로7가길 8,철거,-,2022.0,,,,,,,
,신사종합사회복지관,은평로 38,운영,2014,,26.0,,,,,,
,불광1동 치안센터,불광로 129,운영,2014,,19.0,,,,,,
,청년취업사관학교 은평캠퍼스,은평로 245,운영,2014,,19.0,,,,,,
,증산 정보도서관,증산로5길 6,철거,2013,2025.0,33.0,,,,,,
서대문구,청년누리, 증가로4길 8-45,운영,2019,,12.0,0.27,0.25,0.23,0.270952525299939,0.26409120683048953,0.2354959674684137
,남가좌2동 제2공영주차장,명지대5길 10-8,운영,-,,12.0,,,,,,
,신한은행_남가좌동점,서대문구 수색로2길 36(남가좌동),운영,2020,,12.0,,,,,,
,신한은행 명지대 지점,거북골로 45(남가좌동),운영,2019,,12.0,,,,,,
,홍제3동 주민센터,세검정로4길 32,운영,2017,,12.0,,,,,,
,홍은2동 주민센터,모래내로 334,운영,2017,,19.0,,,,,,
,연희동주민센터,연희로 189,운영,2016,,19.0,,,,,,
,홍은1동주민센터,홍은중앙로 85,운영,-,,19.0,,,,,,
,신한은행_연희동점,서대문구 연희맛로 28,운영,2022,,12.0,,,,,,
,서부제일교회 어린이도서관,가좌로 154,철거,2014,2025.0,12.0,,,,,,
,봉원교회 북카페 옆,봉원사2길 13,운영,2013,,12.0,,,,,,
,북아현동 주민센터,북아현로 24,운영,2013,,26.0,,,,,,
,충현동주민센터,북아현로22길 38,운영,2018,,12.0,,,,,,
마포구,서교동교회,잔다리로6길 11,운영,2019,,12.0,0.32,0.31,0.29,0.30215427666223377,0.2794066957037387,0.2565816805707864
,성산1동주민센터,성산로 4길 15,운영,2019,,12.0,,,,,,
,대흥동주민센터,신촌로26길 10,운영,2013,,19.0,,,,,,
,망원2동 치안센터,월드컵로31길 18,운영,2021,,19.0,,,,,,
,서현교회,잔다리로7길 31,운영,2021,,19.0,,,,,,
,동교치안센터,신촌로2안길 27,운영,2021,,12.0,,,,,,
,서강동주민센터,독막로 165,운영,2020,,12.0,,,,,,
,상암동주민센터후문,매봉산로2길 16,운영,-,,19.0,,,,,,
,신수동주민센터,독막로 192,운영,2017,,19.0,,,,,,
,성산2동주민센터,월드컵북로30길 22,운영,2016,,19.0,,,,,,
,연남동희망원룸주택,성미산로17길 79,운영,2015,,19.0,,,,,,
,상암동 제1공영주차장,성암로 197,운영,2014,,19.0,,,,,,
,마포아트센터,대흥로20길 28,운영,2014,,19.0,,,,,,
,연남동 주민커뮤니티센터,동교로41길 36,운영,2013,,26.0,,,,,,
,도화동 주민센터,도화길 37,운영,2013,,26.0,,,,,,
양천구,신월1동 청소년독서실,남부순환로59길 8,철거,-,2024.0,12.0,0.35,0.34,0.32,0.3733357591389176,0.34605196346601264,0.3290040681901887
,양천나눔누리센터,중앙로 250,운영,2017,,19.0,,,,,,
,목동실버복지문화센터,목동중앙로3길 21,운영,2016,,19.0,,,,,,
,신월3동주민센터,남부순환로54길 5,운영,2016,,19.0,,,,,,
,신정4동주민센터,오목로34길 5,운영,2016,,19.0,,,,,,
,목동문화체육센터,목동중앙본로 73,운영,2015,,19.0,,,,,,
,신월문화체육센터,지양로 47,운영,2014,,19.0,,,,,,
,신월5동주민센터,화곡로4길 10,운영,2014,,19.0,,,,,,
,신월4동주민센터,오목로5길 34,운영,2013,,19.0,,,,,,
,목3동 주민센터,목동중앙남로16나길 55,운영,2013,,19.0,,,,,,
,경창시장고객주차장,신월동 446-3,철거,-,2023.0,,,,,,,
,목동보건지소,목동중앙본로7가길 11,운영,2018,,12.0,,,,,,
강서구,화곡2동주민센터,곰달래로37길 13,운영,2021,,12.0,0.32,0.29,0.29,0.2826291669767242,0.2821002204445692,0.26993396380144496
,길꽃어린이도서관,금낭화로24길 5,운영,2019,,12.0,,,,,,
,화곡8동 주민센터,곰달래로25길 45,운영,2017,,19.0,,,,,,
,가로공원공영주차장1번출구,가로공원로 189,운영,2016,,19.0,,,,,,
,화곡 6-1 공영주차장,우장산로 114,운영,2015,,19.0,,,,,,
,화곡 3-1 공영주차장,화곡로15길 40,운영,2014,,19.0,,,,,,
,화곡 1-1 공영주차장,곰달래로15길 28,운영,2014,,19.0,,,,,,
,내발산동 문화센터,강서로52길 89,운영,2014,,19.0,,,,,,
,곰달래복지문화센터,강서로5길 50,운영,2013,,26.0,,,,,,
,화곡4동 주민센터,곰달래로57가길 26,운영,2013,,26.0,,,,,,
,볏골공원공영주차장,까치산로4길 22,운영,2013,,26.0,,,,,,
,공항동 주민센터,송정로 45,운영,2013,,26.0,,,,,,
,발산1동주민센터,강서로47길 54,운영,2018,,19.0,,,,,,
,신방화역환승주차장,마곡서1로 111-12,운영,2021,,19.0,,,,,,
구로구,가리봉동주민센터,우마2길 35,철거,-,2024.0,12.0,0.29,0.22,0.24,0.28007948356244705,0.2957812036812461,0.35412654246129066
,구로구 시설관리공단,구로동로26길 54,철거,2017,2025.0,19.0,,,,,,
,서울교통공사대림별관,도림천로 352,운영,2016,,12.0,,,,,,
,온수동_공용이용시설,부일로1길 62,철거,2015,2024.0,19.0,,,,,,
,구로역1번출구 NC백화점,구로중앙로 174,운영,2014,,19.0,,,,,,
,구로구민회관,가마산로25길 21,운영,2014,,19.0,,,,,,
,궁동종합사회복지관,오리로22길 5,철거,2014,2023.0,,,,,,,
,동양미래대학교 기숙사,중앙로 10-5,철거,-,2022.0,,,,,,,
,구로2동주민센터앞,구로동로 141,운영,2013,,19.0,,,,,,
,현대오일뱅크_구로셀프주유소,조원로12길 25,철거,2019,2022.0,,,,,,,
,구로구민 체육센터,고척로45길 36,운영,2013,,19.0,,,,,,
,오류1동텃골공영주차장,경인로15길 22,운영,2018,,19.0,,,,,,
금천구,독산2동주민센터,독산로 179,운영,2019,,12.0,0.27,0.22,0.22,0.2530637684763614,0.2068338195892465,0.18492443687336158
,청춘삘딩,시흥대로138길 10-11,철거,-,2024.0,12.0,,,,,,
,신한은행_디지털라운지,금천구 시흥대로 97(시흥동),철거,-,2024.0,12.0,,,,,,
,신한은행_금천점,금천구 금하로 747-1(시흥동),운영,-,,12.0,,,,,,
,시흥4동 주민센터,독산로36길 14,운영,2014,,19.0,,,,,,
,금천호암노인복지관,독산로72길 86-5,철거,2013,2025.0,12.0,,,,,,
,시흥3동 주민센터,시흥대로18길 40,운영,2013,,19.0,,,,,,
,독산1동주민센터,시흥대로123길 11,운영,2013,,26.0,,,,,,
,금빛휘트니스센터,금하로668 금빛공원,철거,2017,2023.0,19.0,,,,,,
,금천구청,시흥대로73길 70,운영,2018,,19.0,,,,,,
