자치구,시설물명,주소,운영여부,설치연도,철거연도,칸수,2021년,2022년,2023년,2024년,2025년,2026년 6월
,성북정릉감리교회,보국문로8길 23,철거,2022,2026.0,19.0,-,337,784,117,129,-
,성북구립휘트니스센터,보문로29길 49,운영,2026.7,,19.0,-,-,-,-,-,-
,보문부모아이지원센터,지봉로24길 26,운영,2020,,12.0,332,758,580,971,935,473
,제일빌딩,북악산로31길 8,운영,2017,,19.0,1833,1426,986,794,906,417
,성북희망나눔봉사센터,삼양로 20,운영,2016,,19.0,2348,2728,2764,2728,2978,1610
,안암교회,보문로30가길 41-6,운영,2015,,19.0,2857,2113,1673,1665,1456,1070
,성북청소년수련관,한천로 660-9,철거,2018,2023.0,12.0,653,521,-,-,-,-
,아리랑 시네미디어센터,아리랑로 82,운영,2014,,19.0,2840,3102,3389,3519,3305,1211
,장위1동 주민센터,장위로 61,운영,2014,,19.0,4983,3941,3909,3356,3676,1808
강북구,미아사거리역 1번출구,도봉로 50,운영,-,,19.0,202,2096,3405,4237,4308,2140
,강북노인종합복지회관,삼양로92길 40,철거,2017,2024.0,19.0,1643,1185,668,-,-,-
,솔밭근린공원 개방화장실,삼양로 561,운영,2016,,19.0,3020,3664,4153,3109,2920,1406
,강북문화예술회관,삼각산로 85,철거,2016,2025.0,19.0,2059,1567,1213,997,-,-
,번동북부시장 북부마트,한천로123길 26,운영,2016,,19.0,2333,1299,1358,997,788,511
,수유역1번출구,도봉로 338,운영,2015,,19.0,3381,3467,3659,3407,4059,2297
,미아동 복합청사,솔매로49길 14,운영,2014,,19.0,4792,4573,4012,3770,3343,1487
,강북구청 본관 입구,도봉로89길 13,철거,2014,2025.0,19.0,3642,3871,2844,3399,-,-
,수유1동 주민센터,삼양로 299,운영,2013,,19.0,4706,5390,4364,4135,3334,1360
도봉구,염광교회,도봉로120길 16,운영,2017,,19.0,1730,3237,2468,1214,1474,606
,창3동 주민센터,덕릉로62길 89,운영,2017,,19.0,1941,1656,1521,1286,1259,703
,도봉구민회관,도봉로 552,운영,2016,,19.0,4637,4749,3983,4630,4569,2287
,창동 도봉육아종합지원센터,우이천로4길 24-5,철거,2016,2024.0,12.0,1421,1188,856,-,-,-
,도봉서원종합사회복지관,마들로 668,운영,2014,,19.0,2194,1875,2122,1970,1679,20
,방아골종합사회복지관,시루봉로17길 42,운영,2014,,19.0,1567,2165,1856,1135,1237,639
,창동역1번출구,마들로11길 77,철거,2013,2024.0,26.0,5067,6165,5328,-,-,-
,도봉구민청,마들로 656,철거,-,2022.0,,170,-,-,-,-,-
,창1동제1공영주차장,도봉로112길 43,철거,2016,2023.0,,2931,258,-,-,-,-
,도봉1동주민센터,도봉로169나길 22,운영,2013,,19.0,3011,2797,2525,2140,1992,849
,창2동 신창교회,덕릉로 247,운영,2018,,12.0,1903,1914,1696,1860,1882,1183
노원구,공릉종합사회복지관,동일로 1127 공릉아파트,운영,2019,,12.0,1030,1026,700,966,1046,455
,상계문화정보도서관,동일로 243길 57,운영,2020,,19.0,702,521,1247,1556,1346,725
,상계2동주민센터,상계로 118,운영,2016,,19.0,3098,2915,3746,4187,3481,1742
,"상계3,4동 주민센터",덕릉로 859,운영,2014,,19.0,2114,1480,1043,950,579,360
,상계역 자전거대여소,상계로 190,운영,2014,,33.0,7235,5819,6960,6655,5848,3510
,공릉 청소년문화정보센터,노원로1나길 10,운영,2013,,19.0,3114,3748,3293,3336,2799,1221
,공릉1동 주민센터(노원),동일로186길 3-24,운영,2016~2017 사이,,19.0,2984,3135,3587,3063,2831,1096
,월계문화정보도서관,월계로 319,철거,2015,2023.0,19.0,3198,2893,-,-,-,-
,월계치안센터,석계로 93,철거,2018,2024.0,19.0,1952,2005,2557,-,-,-
은평구,역촌동 주민센터,연서로 59,운영,2013,,19.0,4397,3854,3345,3831,3732,2128
